"type","title","identifier","publisher","publisher_country","coverage_start","coverage_end","coverage_frequency","entities","url","source_url"
"source","Abuja MoU Detention List","abuja_mou_detention","Abuja Memorandum of Understanding","Global","2025-07-14",,"weekly","1358","https://www.opensanctions.org/datasets/abuja_mou_detention/","https://abujamou.org/en/detention-list/"
"external","Abuja MoU Port State Control Inspections","ext_abuja_mou_psc","Abuja Memorandum of Understanding","Global","2025-08-18",,"weekly","136","https://www.opensanctions.org/datasets/ext_abuja_mou_psc/","https://abujamou.org/en/inspection-database/"
"source","ACF List of War Enablers","ru_acf_bribetakers","Anti-Corruption Foundation","Russia","2022-05-05",,"daily","8535","https://www.opensanctions.org/datasets/ru_acf_bribetakers/","https://acf.international/bribetakers-list"
"source","African Development Bank Debarred Entities","afdb_sanctions","African Development Bank Group","Global","2021-11-08",,"daily","2008","https://www.opensanctions.org/datasets/afdb_sanctions/","https://www.afdb.org/en/projects-operations/debarment-and-sanctions-procedures"
"source","Argentina Members of Parliament","ar_parliament","Honorable Cámara de Diputados de la Nación Argentina","Argentina","2023-12-31",,"daily","2582","https://www.opensanctions.org/datasets/ar_parliament/","https://datos.hcdn.gob.ar/dataset/legisladores"
"source","Argentina RePET Sanctions","ar_repet","Ministerio de Justicia","Argentina","2022-02-06",,"daily","1851","https://www.opensanctions.org/datasets/ar_repet/","https://repet.jus.gob.ar/"
"source","Armenia Public Officials and Associates","am_hetq_officials","Hetq Online","Armenia","2024-04-22","2024-04-22","never","18825","https://www.opensanctions.org/datasets/am_hetq_officials/","https://data.hetq.am/"
"source","Asian Development Bank Sanctions","adb_sanctions","Asian Development Bank","Global","2021-11-09",,"daily","2639","https://www.opensanctions.org/datasets/adb_sanctions/","https://www.adb.org/who-we-are/integrity/sanctions"
"source","Australia Listed Terrorist Organisations","au_listed_terrorist_orgs","Department of Home Affairs","Australia","2025-08-15",,"daily","60","https://www.opensanctions.org/datasets/au_listed_terrorist_orgs/","https://www.nationalsecurity.gov.au/what-australia-is-doing/terrorist-organisations/listed-terrorist-organisations"
"program","Listed Terrorist Organisations","AU-TERROR","Department of Home Affairs","Australia",,,,,"https://www.opensanctions.org/programs/AU-TERROR/","https://www.nationalsecurity.gov.au/what-australia-is-doing/terrorist-organisations/protocol-for-listing"
"source","Australian Sanctions Consolidated List","au_dfat_sanctions","Department of Foreign Affairs and Trade","Australia","2018-04-11",,"daily","8962","https://www.opensanctions.org/datasets/au_dfat_sanctions/","https://www.dfat.gov.au/international-relations/security/sanctions/Pages/sanctions"
"program","Afghanistan Sanctions Framework","AU-AFGHANISTAN","Department of Foreign Affairs and Trade","Australia",,,,,"https://www.opensanctions.org/programs/AU-AFGHANISTAN/","https://www.dfat.gov.au/international-relations/security/sanctions/sanctions-regimes/afghanistan-sanctions-framework"
"program","Serious Corruption Sanctions Regime","AU-CRP","Department of Foreign Affairs and Trade","Australia",,,,,"https://www.opensanctions.org/programs/AU-CRP/","https://www.dfat.gov.au/international-relations/security/sanctions/sanctions-regimes/serious-corruption-sanctions-regime"
"program","Significant Cyber Incidents Sanctions Regime","AU-CYB","Department of Foreign Affairs and Trade","Australia",,,,,"https://www.opensanctions.org/programs/AU-CYB/","https://www.dfat.gov.au/international-relations/security/sanctions/sanctions-regimes/significant-cyber-incidents-sanctions-regime"
"program","Democratic People's Republic Of Korea (North Korea) Sanctions Regime","AU-DPRK","Department of Foreign Affairs and Trade","Australia",,,,,"https://www.opensanctions.org/programs/AU-DPRK/","https://www.dfat.gov.au/international-relations/security/sanctions/sanctions-regimes/democratic-peoples-republic-korea-sanctions-regime"
"program","Serious Violations Or Serious Abuses Of Human Rights Sanctions Regime","AU-HUMAN","Department of Foreign Affairs and Trade","Australia",,,,,"https://www.opensanctions.org/programs/AU-HUMAN/","https://www.dfat.gov.au/international-relations/security/sanctions/sanctions-regimes/serious-violations-or-serious-abuses-human-rights-sanctions-regime"
"program","Iran Sanctions Regime","AU-IRAN","Department of Foreign Affairs and Trade","Australia",,,,,"https://www.opensanctions.org/programs/AU-IRAN/","https://www.dfat.gov.au/international-relations/security/sanctions/sanctions-regimes/iran-sanctions-regime"
